Vmag,Plx,B-V,MagA,Clase
7.27,2.52,0.024,14.277002,0.0
9.09,13.17,0.653,19.68793,0.0
7.03,3.79,-0.018,14.923197,0.0
8.02,3.79,1.22,15.913197,1.0
8.0,-0.03,1.894,5.3856063,1.0
7.36,1.01,0.093,12.381607,1.0
5.67,8.0,0.836,15.18545,1.0
6.43,8.43,1.122,16.059137,1.0
8.39,6.92,1.117,17.59053,1.0
6.08,3.71,0.421,13.926869,0.0
8.4,1.68,0.987,14.5265465,1.0
8.02,3.5,1.227,15.740341,1.0
7.56,2.72,1.342,14.732844,1.0
7.99,11.03,0.405,18.202877,0.0
8.21,13.47,0.751,18.856838,0.0
8.27,3.56,0.512,16.02725,1.0
8.87,3.83,1.026,16.785994,1.0
4.78,8.49,0.516,14.424538,0.0
8.58,14.83,0.641,19.435705,0.0
9.02,2.48,1.184,15.992258,1.0
9.01,1.82,1.334,15.310357,1.0
8.33,1.42,1.146,14.091442,1.0
7.3,13.63,0.677,17.972479,0.0
8.94,6.98,1.023,18.159275,0.0
9.35,4.81,0.41,17.760727,0.0
8.19,11.53,0.699,18.499146,0.0
7.68,3.17,1.286,15.185297,1.0
8.31,8.85,0.399,18.044716,1.0
10.15,-1.17,0.412,15.490929,0.0
7.27,13.59,0.529,17.936098,0.0
6.41,3.29,1.306,13.995979,1.0
6.36,9.19,0.096,16.176579,0.0
5.89,10.94,1.136,16.085085,1.0
9.25,7.58,0.3,18.648346,1.0
9.23,2.6,0.32,16.304867,0.0
8.18,3.94,1.163,16.157482,1.0
9.58,15.62,0.749,20.548405,0.0
8.79,3.23,1.416,16.336012,1.0
9.18,-0.69,0.303,13.374246,0.0
4.54,13.92,1.252,15.258195,1.0
6.91,6.63,-0.059,16.017567,0.0
8.48,2.51,-0.094,15.478368,0.0
3.93,5.56,-0.21,12.655375,1.0
8.58,1.64,1.438,14.654219,1.0
7.1,14.08,0.354,17.843012,1.0
7.73,2.32,-0.109,14.55744,0.0
6.9,5.46,0.0,15.585962,0.0
9.46,6.8,0.568,18.622543,1.0
7.83,3.05,0.761,15.251499,0.0
9.07,8.39,0.416,18.688808,0.0
8.66,4.31,1.318,16.832386,1.0
8.77,1.89,1.054,15.152309,1.0
9.7,-0.03,-0.009,7.085606,1.0
8.69,4.15,1.211,16.78024,1.0
9.11,10.19,0.655,19.150871,0.0
9.18,11.28,0.577,19.441545,0.0
4.96,13.54,0.052,15.618093,0.0
8.17,4.43,1.032,16.40202,1.0
9.39,2.2,0.35,16.102114,0.0
7.81,2.56,1.253,14.8512,1.0
9.04,1.85,1.155,15.375858,1.0
7.7,5.25,0.972,16.300797,1.0
7.31,0.81,0.888,11.852425,1.0
9.45,-1.03,0.995,14.514186,0.0
9.02,14.99,0.696,19.89901,0.0
9.01,1.76,1.716,15.237564,1.0
7.79,4.05,1.054,15.827275,1.0
6.05,25.06,0.576,18.044907,0.0
7.63,1.49,1.4,13.495932,1.0
7.61,9.74,0.934,17.552795,1.0
9.32,2.57,0.003,16.369665,0.0
7.83,2.5,0.019,14.8197,0.0
6.82,2.71,1.589,13.984846,1.0
5.74,9.92,1.005,15.722558,1.0
8.76,2.13,0.962,15.401898,1.0
8.31,2.8,1.046,15.545791,1.0
8.38,53.47,1.078,22.020552,0.0
6.26,23.95,0.618,18.156527,0.0
7.07,3.72,1.703,14.922714,1.0
9.46,8.96,0.534,19.221539,0.0
6.21,4.67,0.866,14.556584,1.0
5.84,3.67,1.612,13.66333,1.0
9.09,12.04,0.565,19.493134,1.0
8.7,1.54,0.082,14.637604,0.0
6.47,4.14,1.424,14.555002,1.0
7.46,1.16,-0.113,12.7822895,0.0
6.07,2.66,1.21,13.194408,1.0
7.64,3.38,0.194,15.284584,0.0
10.18,0.77,0.58,14.612453,0.0
4.92,3.33,-0.128,12.532221,1.0
9.27,2.12,-0.014,15.90168,0.0
7.83,8.81,0.471,17.554878,0.0
7.49,2.48,-0.087,14.462257,0.0
8.84,11.59,0.58,19.160418,0.0
7.48,4.23,1.04,15.611702,1.0
7.61,1.81,2.86,13.898393,1.0
5.88,9.16,0.992,15.689477,1.0
7.86,1.58,1.341,13.853285,1.0
8.25,1.25,1.611,13.73455,1.0
9.22,6.51,0.614,18.287907,0.0
8.83,14.35,0.721,19.614258,0.0
9.28,6.08,0.682,18.199516,0.0
8.71,7.73,0.893,18.150898,0.0
6.58,5.18,1.189,15.1516485,1.0
6.41,3.04,1.614,13.824368,1.0
7.98,3.91,1.044,15.940884,1.0
8.84,-0.06,0.329,7.7307568,1.0
8.28,6.84,0.807,17.45528,1.0
7.28,5.81,1.22,16.100882,0.0
8.76,4.32,1.101,16.93742,1.0
9.32,7.95,0.696,18.821835,0.0
9.02,6.83,0.466,18.192104,0.0
9.04,14.59,0.67,19.860275,0.0
4.58,4.15,-0.183,12.67024,1.0
8.41,-1.26,1.085,13.911852,1.0
9.18,3.88,0.4,17.124159,0.0
9.86,9.53,0.513,19.755463,0.0
3.58,30.01,0.883,15.96633,1.0
9.14,0.06,0.259,8.030757,0.0
8.73,1.46,-0.074,14.551764,0.0
7.92,4.12,0.223,15.994486,0.0
7.77,17.84,0.554,19.026974,0.0
8.77,1.98,0.006,15.253326,0.0
8.18,0.51,1.556,11.717852,1.0
5.93,20.4,0.354,17.478151,0.0
10.27,-0.76,1.268,14.674068,1.0
9.63,7.02,0.586,18.861687,0.0
5.62,3.17,0.435,13.125297,0.0
9.28,8.41,0.651,18.90398,0.0
8.04,3.31,1.25,15.639139,1.0
5.76,6.79,-0.002,14.91935,0.0
7.09,6.94,0.577,16.296799,0.0
8.72,27.02,0.91,20.878428,0.0
5.76,4.62,-0.067,14.08321,1.0
7.35,1.27,1.681,12.869019,1.0
7.88,4.86,1.14,16.31318,1.0
7.11,5.66,0.724,15.874083,0.0
6.05,27.51,0.447,18.247452,0.0
8.44,3.53,1.007,16.178873,1.0
7.55,4.72,0.327,15.91971,0.0
9.26,11.01,0.675,19.468937,0.0
5.66,6.29,1.56,14.653253,1.0
8.6,7.74,0.475,18.043705,0.0
8.35,4.07,0.919,16.397972,1.0
9.1,12.26,0.644,19.542454,0.0
6.12,5.97,-0.048,14.999871,0.0
5.67,4.65,1.489,14.007265,1.0
7.26,0.97,-0.046,12.193859,1.0
7.3,4.88,0.958,15.742099,1.0
7.04,6.44,0.965,16.084429,1.0
6.37,3.93,0.962,14.341963,1.0
4.84,4.36,-0.125,13.037433,0.0
8.46,9.47,0.377,18.341751,0.0
7.39,2.91,-0.155,14.709465,0.0
8.98,28.24,0.89,21.234324,0.0
9.23,8.71,0.592,18.93009,0.0
8.67,1.27,1.434,14.189018,1.0
8.1,8.98,1.198,17.866383,1.0
8.29,7.61,0.362,17.696922,0.0
7.95,0.24,1.079,9.851056,1.0
8.25,4.09,-0.026,16.308617,0.0
8.86,6.7,0.518,17.990374,0.0
7.56,0.98,-0.139,12.51613,0.0
7.7,1.11,-0.058,12.926615,1.0
5.72,1.97,-0.112,12.192331,0.0
6.21,8.8,0.01,15.932413,0.0
9.54,-2.08,1.74,16.130316,1.0
6.93,4.43,1.54,15.16202,1.0
7.24,1.43,0.091,13.01668,1.0
8.18,4.05,0.95,16.217276,1.0
5.78,3.57,-0.01,13.543341,1.0
9.27,5.55,0.42,17.991467,0.0
6.58,6.36,0.976,15.597285,0.0
7.87,4.32,1.06,16.047419,1.0
8.79,0.66,1.217,12.88772,1.0
9.71,7.54,0.654,19.096855,0.0
3.49,7.74,1.4,12.933704,1.0
7.6,4.41,1.02,15.822193,1.0
8.59,0.97,0.126,13.523859,1.0
6.52,6.95,0.962,15.729923,0.0
8.13,11.62,0.472,18.456032,0.0
8.63,1.92,1.701,15.046507,1.0
6.59,0.55,0.338,10.291814,1.0
9.05,2.97,0.53,16.413782,0.0
7.88,3.88,0.569,15.824159,0.0
8.28,5.16,-0.1,16.843248,0.0
8.92,2.83,-0.037,16.178932,0.0
8.05,2.92,1.138,15.376914,1.0
9.04,11.69,0.632,19.37907,0.0
6.54,12.25,0.337,16.980682,1.0
9.05,2.05,1.056,15.608769,1.0
8.54,3.82,1.035,16.450317,1.0
7.99,7.44,0.116,17.347864,0.0
8.36,3.61,-0.04,16.147537,0.0
7.57,4.05,1.188,15.607275,1.0
7.5,0.5,1.645,10.99485,1.0
8.74,2.95,0.937,16.08911,1.0
7.01,0.59,1.197,10.86426,0.0
9.01,4.62,0.53,17.33321,0.0
9.16,4.49,1.217,17.42123,1.0
8.0,2.52,1.065,15.007003,1.0
9.5,28.79,0.941,21.796207,0.0
7.46,4.1,1.06,15.523919,1.0
8.61,9.01,0.424,18.383625,0.0
6.82,1.59,-0.094,12.826986,1.0
5.43,17.21,0.069,16.608904,0.0
9.55,18.98,0.88,20.941483,0.0
9.13,1.38,0.239,14.829395,0.0
9.21,0.27,1.614,11.366819,1.0
8.85,0.77,1.044,13.282454,1.0
